title,date,days,tokens,stem,lemma,pos_tags,named_entities
Simple estimation of hierarchical events with petersburg,3 points by wdm0006 1 day ago  | discuss,1,"simple,estimation,hierarchical,events,petersburg",Simple estimation of hierarchical events with petersburg,Simple estimation of hierarchical events with petersburg,"[('Simple', 'JJ'), ('estimation', 'NN'), ('of', 'IN'), ('hierarchical', 'JJ'), ('events', 'NNS'), ('with', 'IN'), ('petersburg', 'NN')]",['Simple']
Engineers Shouldn?t Write ETL: High Functioning Data Science Departments,9 points by legel 4 days ago  | 3 comments,4,"engineers,write,etl,high,functioning,data,science,departments",Engineers Shouldn?t Write ETL: High Functioning Data Science Depart,Engineers Shouldn?t Write ETL: High Functioning Data Science Departments,"[('Engineers', 'NNS'), ('Shouldn', 'NNP'), ('?', '.'), ('t', 'NN'), ('Write', 'NNP'), ('ETL', 'NNP'), (':', ':'), ('High', 'JJ'), ('Functioning', 'NNP'), ('Data', 'NNP'), ('Science', 'NNP'), ('Departments', 'NNP')]",['Write']
Unsupervised Computer Vision: The Current State of the Art,6 points by carlosfaham 3 days ago  | discuss,3,"unsupervised,computer,vision,current,state,art",Unsupervised Computer Vision: The Current State of the Art,Unsupervised Computer Vision: The Current State of the Art,"[('Unsupervised', 'VBN'), ('Computer', 'NNP'), ('Vision', 'NNP'), (':', ':'), ('The', 'DT'), ('Current', 'NNP'), ('State', 'NNP'), ('of', 'IN'), ('the', 'DT'), ('Art', 'NN')]",['Computer Vision']
What data visualization tools do /r/DataIsBeautiful OC creators use?,3 points by pmigdal 2 days ago  | discuss,2,"data,visualization,tools,r,dataisbeautiful,oc,creators,use",What data visualization tools do /r/DataIsBeautiful OC creators use?,What data visualization tools do /r/DataIsBeautiful OC creators use?,"[('What', 'WP'), ('data', 'VBZ'), ('visualization', 'NN'), ('tools', 'NNS'), ('do', 'VBP'), ('/', 'RB'), ('r', 'VB'), ('/', 'NNP'), ('DataIsBeautiful', 'NNP'), ('OC', 'NNP'), ('creators', 'NNS'), ('use', 'VBP'), ('?', '.')]",[]
Data Engineering at Slack: Twelve Mistakes I've Made In My First Three Months,13 points by gwulfs 5 days ago  | 2 comments,5,"data,engineering,slack,twelve,mistakes,made,first,three,months",Data Engineering at Slack: Twelve Mistakes I've Made In My First Three Month,Data Engineering at Slack: Twelve Mistakes I've Made In My First Three Months,"[('Data', 'NNP'), ('Engineering', 'NNP'), ('at', 'IN'), ('Slack', 'NNP'), (':', ':'), ('Twelve', 'NNP'), ('Mistakes', 'NNP'), ('I', 'PRP'), (""'"", ""''""), ('ve', 'NN'), ('Made', 'VBN'), ('In', 'IN'), ('My', 'NNP'), ('First', 'NNP'), ('Three', 'CD'), ('Months', 'NNP')]","['Data Engineering', 'Slack']"
An unusual interactive machine learning challenge,4 points by gglumov 3 days ago  | discuss,3,"unusual,interactive,machine,learning,challenge",An unusual interactive machine learning challeng,An unusual interactive machine learning challenge,"[('An', 'DT'), ('unusual', 'JJ'), ('interactive', 'JJ'), ('machine', 'NN'), ('learning', 'NN'), ('challenge', 'NN')]",[]
Datumbox Machine Learning Framework 0.7.0 Released,4 points by datumbox 3 days ago  | discuss,3,"datumbox,machine,learning,framework,0,7,0,released",Datumbox Machine Learning Framework 0.7.0 Releas,Datumbox Machine Learning Framework 0.7.0 Released,"[('Datumbox', 'NNP'), ('Machine', 'NNP'), ('Learning', 'NNP'), ('Framework', 'NNP'), ('0', 'CD'), ('.', '.'), ('7', 'CD'), ('.', '.'), ('0', 'CD'), ('Released', 'VBD')]",['Datumbox Machine']
Reshaping in Pandas,5 points by carlosgg 3 days ago  | discuss,3,"reshaping,pandas",Reshaping in Panda,Reshaping in Pandas,"[('Reshaping', 'VBG'), ('in', 'IN'), ('Pandas', 'NNP')]",['Pandas']
Data science intro for math/phys background,14 points by pmigdal 6 days ago  | discuss,6,"data,science,intro,math,phys,background",Data science intro for math/phys background,Data science intro for math/phys background,"[('Data', 'NNP'), ('science', 'NN'), ('intro', 'NN'), ('for', 'IN'), ('math', 'NN'), ('/', 'NNP'), ('phys', 'NN'), ('background', 'NN')]",['Data']
Neural Networks demystified,16 points by elyase 7 days ago  | discuss,7,"neural,networks,demystified",Neural Networks demystifi,Neural Networks demystified,"[('Neural', 'JJ'), ('Networks', 'NNP'), ('demystified', 'VBD')]",['Neural Networks']
