title,date
Some experiments into explaining complex black box ensemble predictions,2 points by lefish 6 days ago  | discuss
Creating a Hadoop Pseudo-Distributed Environment,2 points by lefish 6 days ago  | discuss
"Data Science Pop-Up in Austin, TX",2 points by AnnaOnTheWeb 6 days ago  | discuss
Train your own image classifier with Inception in TensorFlow,7 points by elyase 13 days ago  | discuss
Shiny app for running a Tensorflow demo,3 points by shinyman 9 days ago  | discuss
File details and owners with gitnoc and git-pandas,3 points by wdm0006 9 days ago  | discuss
7 Big Data Technologies and When to Use Them that All Data Engineers Should Know,2 points by galvanize 7 days ago  | discuss
Topic clusters with TF-IDF vectorization with Spark and Scala,2 points by lefish 7 days ago  | discuss
Neural Doodles: Workflows for the Next Generation of Artists,5 points by pmigdal 12 days ago  | discuss
Graph Databases 101,5 points by carlosgg 12 days ago  | discuss
DataRadar.IO - Data Science RSS Feed - Do you have enough data about your data,2 points by dekhtiar 8 days ago  | 3 comments
International Women's Day: What #PledgeForParity Means To Us,5 points by ddrum001 14 days ago  | discuss
Top 50 Data Science thought leaders on Twitter,3 points by datawerq 11 days ago  | 3 comments
Ask DT: Who Is Hiring? (March 2016),27 points by whoishiring 21 days ago  | 15 comments
Deriving Better Insights From Time Series Data With Cycle Plots,3 points by clevertap 11 days ago  | discuss
Introducing GraphFrames,7 points by falaki 19 days ago  | discuss
SQL for Data Analysis,4 points by nickhould 14 days ago  | 6 comments
Stream processing and messaging systems for the IoT age,3 points by gradientflow 12 days ago  | discuss
Announcing R Tools for Visual Studio,3 points by brakmic 13 days ago  | discuss
A simpler way to merge data streams,3 points by apoverton 13 days ago  | discuss
Optimizing Notification Timing for One Signal,9 points by megandias 26 days ago  | discuss
Skizze - A high throughput probabilistic data structure service and storage,3 points by seiflotfy 14 days ago  | discuss
Question: What do you want to say about working with data?,2 points by emiller425 8 days ago  | discuss
Genomic Ranges - an Introduction to Working with Genomic Data,3 points by AnnaOnTheWeb 13 days ago  | discuss
TensorFlow for Poets,9 points by ebellm 21 days ago  | 1 comment
Unsupervised Learning with Even Less Supervision Using Bayesian Optimization,2 points by idewanck 11 days ago  | discuss
How to work with large JSON datasets using Python and Pandas,9 points by brian_spiering 21 days ago  | discuss
DrivenData Competition: Model/Visualize Fog Patterns in Morocco,4 points by bull 15 days ago  | discuss
Deep Learning: Nine Lectures at Collège de France by Yan LeCun,5 points by Anon84 17 days ago  | discuss
Optimizing Facebook Campaigns with R,2 points by AnnaOnTheWeb 12 days ago  | 1 comment
"Trump Tweets on a Globe (aka Fun with d3, socket.io, and the Twitter API)",8 points by joelgrus 21 days ago  | discuss
Why pandas users should be excited about Apache Arrow,17 points by pmigdal 29 days ago  | discuss
Histogram intersection for change detection,8 points by datadive 22 days ago  | discuss
Distributed TensorFlow just open-sourced,10 points by elyase 25 days ago  | discuss
D3.js Screencasts (1 in 3 are free),4 points by Veerle 18 days ago  | discuss
Regression and Classification with Examples in R,5 points by soates 20 days ago  | discuss
Free online course on statistical shape modelling,8 points by shapemean 25 days ago  | discuss
"Don't worry about deep learning, deepen your understanding of causality instead",22 points by yanir 37 days ago  | discuss
Work with private repositories and other updates of the FlyElephant platform,2 points by m31 15 days ago  | discuss
How to import XML to almost anywhere,4 points by Jammink 20 days ago  | discuss
Survival Analysis of Cricket Player Careers,8 points by keshav92 26 days ago  | 6 comments
Generate image analogies using neural matching and blending,2 points by pmigdal 15 days ago  | discuss
"Analyzing 1.8M tweets from Super Bowl 50 (Twython, Twitter API, AYLIEN)",4 points by mikewally 20 days ago  | discuss
Newly released sklearn compatible library of categorical encoders,7 points by wdm0006 25 days ago  | discuss
Watch Tiny Neural Nets Learn,4 points by swanint 21 days ago  | discuss
Four pitfalls of hill climbing: An animated look,5 points by csaid81 23 days ago  | discuss
"Decision Forests, Convolutional Networks and the Models in-Between",2 points by ebellm 16 days ago  | discuss
How a Math Genius Hacked OkCupid to Find True Love,15 points by roh_codeur 34 days ago  | discuss
No developers for PyLearn2,3 points by tfturing 19 days ago  | discuss
Density Estimation with Dirichlet Process Mixtures using PyMC3,6 points by MidsizeBlowfish 25 days ago  | discuss
Using survival analysis and git-pandas to estimate code quality,3 points by wdm0006 20 days ago  | discuss
An Analysis of the Flint Michigan Water Crisis: Part 1 Initial Corrosivity,3 points by JHorn 20 days ago  | discuss
An Analysis of Republican Twitter Follower Interests,6 points by michelangelo 26 days ago  | discuss
Introduction to ML talk,8 points by cjbayesian 29 days ago  | discuss
GloVe vs word2vec revisited,3 points by pmigdal 20 days ago  | discuss
Overoptimizing: a story about kaggle,4 points by wdm0006 30 days ago  | discuss
Undergrad Data Analysis/Science internships SF Bay?,3 points by tctctc 15 days ago  | 5 comments
The Role of Statistical Significance in Growth Hacking,6 points by rawls234 27 days ago  | discuss
Data Science Course @ Harvard,7 points by rahmaniacc 29 days ago  | 2 comments
Principal Component Projection Without Principal Component Analysis,6 points by genofon 27 days ago  | discuss
"Machine Learning: An In-Depth, Non-Technical Guide - Part 3",7 points by innoarchitech 29 days ago  | discuss
Stochastic Dummy Boosting,2 points by mikeskim 18 days ago  | discuss
Interactive Map: Hong-Kong through The Lense of Instagram,2 points by BrianN 19 days ago  | discuss
Data Science at Monsanto,3 points by doctorcroc 22 days ago  | discuss
Data Science at Instacart,11 points by jeremystan 34 days ago  | 3 comments
Building a Streaming Search Platform,6 points by ddrum001 28 days ago  | discuss
Kafka Producer Latency with Large Topic Counts,3 points by marklit 26 days ago  | discuss
A Sneak Peak of the Cloud: the 2 Minute Intro for Beginners,2 points by andymaheshw 20 days ago  | discuss
Win-Vector video courses: price/status changes,2 points by jmount 20 days ago  | discuss
50+ Data Science and Machine Learning Cheat Sheets,20 points by elyase 42 days ago  | 1 comment
One More Reason Not To Be Scared of Deep Learning,2 points by amplifier_khan 21 days ago  | discuss
Visual Logic Authoring vs Code,2 points by AnnaOnTheWeb 21 days ago  | discuss
Data Science in Python online training with hands-on experience,2 points by Puneet 21 days ago  | discuss
Viewing the US Presidential Primary Through the Lens of Twitter,8 points by michelangelo 33 days ago  | discuss
Caffe on Spark open sourced,4 points by rahmaniacc 27 days ago  | discuss
The Ethical Data Scientist,5 points by tfturing 29 days ago  | discuss
Answers to Frequently Asked Questions in Machine Learning,3 points by rasbt 21 days ago  | discuss
Intro to A/B Testing and P-Values,2 points by randyzwitch 22 days ago  | discuss
Visualizing State Level Data With R and Statebins,2 points by usujason 22 days ago  | discuss
"Probabilistic Graphical Models slides & video lectures (Eric Xing, CMU)",4 points by ororm 28 days ago  | discuss
Sense2vec with spaCy and Gensim,9 points by elyase 36 days ago  | 2 comments
A Billion NYC Taxi and Uber Rides in AWS Redshift,3 points by marklit 31 days ago  | discuss
How to Code and Understand DeepMind's Neural Stack Machine (in Python),2 points by genofon 23 days ago  | discuss
How to make polished Jupyter presentations with optional code visibility,9 points by csaid81 36 days ago  | discuss
How to become a Bayesian in eight easy steps,17 points by EtzA 44 days ago  | 1 comment
Optimizing .*:  Details of Vectorization and Metaprogramming in Julia,4 points by randyzwitch 29 days ago  | discuss
IBM certified Apache Spark Online Training,8 points by divya_jain 36 days ago  | discuss
Geographic Data Science course,2 points by rk 25 days ago  | discuss
"The Daily Mail Stole My Visualization, Twice",5 points by thehoff 32 days ago  | 1 comment
Ensemble Methods: Improved Machine Learning Results,9 points by PyBloggers 38 days ago  | discuss
Apache Spark and unsupervised learning in security,2 points by gradientflow 26 days ago  | discuss
MachineJS: Automated machine learning- just give it a data file!,2 points by dsernst 26 days ago  | discuss
The NSA’s SKYNET program may be killing thousands of innocent people,6 points by zlipp 35 days ago  | discuss
"Big Dimensions, and What You Can Do About It",2 points by ramsey 27 days ago  | discuss
Automate Your Oscars Pool with R,2 points by jamesdreiss 27 days ago  | discuss
Signal Processing with LIGO GW150914 data,9 points by tfturing 39 days ago  | discuss
Overview of DeZyre and Coursera Data Science Course,5 points by ann928 34 days ago  | discuss
Upcoming Datathon in NYC,2 points by VicTrey 28 days ago  | discuss
Summarizing Data in SQL,15 points by elisebreda 46 days ago  | discuss
A/B Testing for Scammers,2 points by sameermanek 28 days ago  | discuss
Highly interpretable classifiers for scikit learn using Bayesian decision rules,2 points by mcnulty 28 days ago  | discuss
Auto-scaling scikit-learn with Spark,11 points by falaki 43 days ago  | discuss
Where the f*** can I park?,2 points by manugarri 29 days ago  | discuss
"Machine Learning: An In-Depth, Non-Technical Guide - Part 2",5 points by innoarchitech 36 days ago  | discuss
Webhose.io now offers a historical data archive,7 points by databuffer 40 days ago  | discuss
Meetup: Introduction to Machine Learning Algorithms for Data Science.,4 points by ann928 36 days ago  | discuss
Exploring the Limits of Language Modeling,8 points by soates 42 days ago  | discuss
Text Mining South Park,7 points by pmigdal 41 days ago  | discuss
Finding the K in K-means by Parametric Bootstrap,7 points by jmount 42 days ago  | 1 comment
Getting Started with Statistics for Data Science,3 points by nickhould 35 days ago  | discuss
Rodeo 1.3 - Tab-completion for docstrings,3 points by glamp 35 days ago  | discuss
Teaching D3.js - links,3 points by pmigdal 35 days ago  | discuss
Parallel scikit-learn on YARN,5 points by stijntonk 39 days ago  | discuss
Meetup: Free Live Webinar on Prescriptive Analytics for Fun and Profit,2 points by ann928 32 days ago  | discuss
