title,date,days
"An Exploration of R, Yelp, and the Search for Good Indian Food",5 points by Rogerh91 6 hours ago  | discuss,1
Deep Advances in Generative Modeling,7 points by gwulfs 15 hours ago  | 1 comment,1
Spark Pipelines: Elegant Yet Powerful,3 points by aouyang1 9 hours ago  | discuss,1
Shit VCs Say,3 points by Argentum01 10 hours ago  | discuss,1
"Python, Machine Learning, and Language Wars",4 points by pmigdal 17 hours ago  | discuss,1
A Neural Network in 11 lines of Python ,3 points by dekhtiar 14 hours ago  | discuss,1
Markov Chains Explained Visually,13 points by zeroviscosity 1 day ago  | 1 comment,1
Dplython: Dplyr for Python,13 points by thenaturalist 1 day ago  | 3 comments,1
Inferring causal impact using Bayesian structural time-series models,8 points by Homunculiheaded 1 day ago  | 1 comment,1
A Billion Taxi Rides on Amazon EMR running Spark,5 points by marklit 1 day ago  | 1 comment,1
Tutorial: Web scraping and mapping breweries with import.io and R,4 points by jasdumas 1 day ago  | discuss,1
The rise of greedy robots,4 points by yanir 2 days ago  | discuss,2
"Python for Data Structures, Algorithms, and Interviews",18 points by kokoubaby 4 days ago  | discuss,4
Extracting image metadata at scale,2 points by zachwill 1 day ago  | discuss,1
Lift charts - A data scientist's secret weapon,14 points by datenheini 4 days ago  | 2 comments,4
Data Science Side Project,7 points by yashpatel5400 2 days ago  | 9 comments,2
How To Become A Machine Learning Expert In One Simple Step,4 points by swanint 2 days ago  | discuss,2
Engineers Shouldn?t Write ETL: High Functioning Data Science Departments,10 points by legel 4 days ago  | 3 comments,4
Simple estimation of hierarchical events with petersburg,3 points by wdm0006 2 days ago  | discuss,2
Unsupervised Computer Vision: The Current State of the Art,6 points by carlosfaham 3 days ago  | discuss,3
Data Engineering at Slack: Twelve Mistakes I've Made In My First Three Months,14 points by gwulfs 6 days ago  | 2 comments,6
What data visualization tools do /r/DataIsBeautiful OC creators use?,3 points by pmigdal 2 days ago  | discuss,2
Reshaping in Pandas,6 points by carlosgg 4 days ago  | discuss,4
An unusual interactive machine learning challenge,4 points by gglumov 3 days ago  | discuss,3
Datumbox Machine Learning Framework 0.7.0 Released,4 points by datumbox 3 days ago  | discuss,3
Data science intro for math/phys background,14 points by pmigdal 7 days ago  | discuss,7
Neural Networks demystified,16 points by elyase 8 days ago  | discuss,8
What machines can learn from Apple Watch: detecting undiagnosed heart condition,9 points by koukouhappy 6 days ago  | discuss,6
